Provider ID,Hospital Name,City,State,County Name,Survey Response Rate Percent,Patient Survey Star Rating
60117,"ANIMAS SURGICAL HOSPITAL, LLC",DURANGO,CO,LA PLATA,60.0,5.0
30107,ARIZONA SPINE AND JOINT HOSPITAL,MESA,AZ,MARICOPA,57.0,5.0
50708,FRESNO SURGICAL HOSPITAL,FRESNO,CA,FRESNO,55.0,5.0
50726,STANISLAUS SURGICAL HOSPITAL,MODESTO,CA,STANISLAUS,54.0,5.0
50769,HOAG ORTHOPEDIC INSTITUTE,IRVINE,CA,ORANGE,54.0,5.0
50754,MENLO PARK SURGICAL HOSPITAL,MENLO PARK,CA,SAN MATEO,51.0,5.0
30131,O.A.S.I.S. HOSPITAL,PHOENIX,AZ,MARICOPA,50.0,5.0
40147,ARKANSAS SURGICAL HOSPITAL,NO LITTLE ROCK,AR,PULASKI,49.0,5.0
60124,ORTHOCOLORADO HOSPITAL AT ST ANTHONY MED CAMPUS,LAKEWOOD,CO,JEFFERSON,47.0,5.0
30112,ARIZONA SPECIALTY HOSPITAL,CHANDLER,AZ,MARICOPA,46.0,5.0
50357,GOLETA VALLEY COTTAGE HOSPITAL,SANTA BARBARA,CA,SANTA BARBARA,45.0,5.0
50766,SUTTER SURGICAL HOSPITAL - NORTH VALLEY,YUBA CITY,CA,SUTTER,44.0,5.0
10168,JACK HUGHSTON MEMORIAL HOSPITAL,PHENIX CITY,AL,RUSSELL,43.0,5.0
10073,CLAY COUNTY HOSPITAL,ASHLAND,AL,CLAY,35.0,5.0
40134,"ARKANSAS HEART HOSPITAL, LLC",LITTLE ROCK,AR,PULASKI,35.0,5.0
61322,HEART OF THE ROCKIES REGIONAL MEDICAL CENTER,SALIDA,CO,CHAFFEE,33.0,5.0
10173,ST VINCENT'S CHILTON,CLANTON,AL,CHILTON,32.0,5.0
30103,MAYO CLINIC HOSPITAL,PHOENIX,AZ,MARICOPA,32.0,5.0
60049,UCHEALTH YAMPA VALLEY MEDICAL CENTER,STEAMBOAT SPRINGS,CO,ROUTT,32.0,5.0
41312,BAPTIST HEALTH MEDICAL CENTER HEBER SPINGS,HEBER SPRINGS,AR,CLEBURNE,31.0,5.0
51334,OJAI VALLEY COMMUNITY HOSPITAL,OJAI,CA,VENTURA,31.0,5.0
10045,FAYETTE MEDICAL CENTER,FAYETTE,AL,FAYETTE,30.0,5.0
50714,SUTTER MATERNITY & SURGERY CENTER OF SANTA CRUZ,SANTA CRUZ,CA,SANTA CRUZ,29.0,5.0
50782,CASA COLINA HOSPITAL,POMONA,CA,LOS ANGELES,29.0,5.0
51310,ADVENTIST HEALTH HOWARD MEMORIAL,WILLITS,CA,MENDOCINO,29.0,5.0
60006,MONTROSE MEMORIAL HOSPITAL,MONTROSE,CO,MONTROSE,29.0,5.0
41307,CROSSRIDGE COMMUNITY HOSPITAL,WYNNE,AR,CROSS,28.0,5.0
50396,SANTA BARBARA COTTAGE HOSPITAL,SANTA BARBARA,CA,SANTA BARBARA,28.0,5.0
51303,MAMMOTH HOSPITAL,MAMMOTH LAKES,CA,MONO,28.0,5.0
50351,TORRANCE MEMORIAL MEDICAL CENTER,TORRANCE,CA,LOS ANGELES,27.0,5.0
40072,BAPTIST HEALTH MEDICAL CENTER-STUTTGART,STUTTGART,AR,ARKANSAS,26.0,5.0
60118,ST ANTHONY SUMMIT MEDICAL CENTER,FRISCO,CO,SUMMIT,26.0,5.0
10044,MARION REGIONAL MEDICAL CENTER,HAMILTON,AL,MARION,25.0,5.0
61324,ASPEN VALLEY HOSPITAL,ASPEN,CO,PITKIN,25.0,5.0
41311,HOWARD MEMORIAL HOSPITAL,NASHVILLE,AR,HOWARD,23.0,5.0
51328,TAHOE FOREST HOSPITAL,TRUCKEE,CA,NEVADA,23.0,5.0
50100,SHARP MEMORIAL HOSPITAL,SAN DIEGO,CA,SAN DIEGO,22.0,5.0
50537,SUTTER DAVIS HOSPITAL,DAVIS,CA,YOLO,22.0,5.0
50169,PIH HEALTH HOSPITAL-WHITTIER,WHITTIER,CA,LOS ANGELES,21.0,5.0
50454,UCSF MEDICAL CENTER,SAN FRANCISCO,CA,SAN FRANCISCO,21.0,5.0
50262,RONALD REAGAN U C L A MEDICAL CENTER,LOS ANGELES,CA,LOS ANGELES,20.0,5.0
30108,"CORE INSTITUTE SPECIALTY HOSPITAL, THE",PHOENIX,AZ,MARICOPA,53.0,4.0
30068,MT. GRAHAM REGIONAL MEDICAL CENTER,SAFFORD,AZ,GRAHAM,40.0,4.0
30105,BANNER HEART HOSPITAL,MESA,AZ,MARICOPA,40.0,4.0
50510,KAISER FOUNDATION HOSPITAL,SAN RAFAEL,CA,MARIN,40.0,4.0
31300,WICKENBURG COMMUNITY HOSPITAL,WICKENBURG,AZ,MARICOPA,39.0,4.0
10100,THOMAS HOSPITAL,FAIRHOPE,AL,BALDWIN,38.0,4.0
10056,ST VINCENT'S BIRMINGHAM,BIRMINGHAM,AL,JEFFERSON,37.0,4.0
40010,MERCY HOSPITAL NORTHWEST ARKANSAS,ROGERS,AR,BENTON,37.0,4.0
40062,MERCY HOSPITAL FORT SMITH,FORT SMITH,AR,SEBASTIAN,37.0,4.0
30123,SCOTTSDALE THOMPSON PEAK MEDICAL CENTER,SCOTTSDALE,AZ,MARICOPA,36.0,4.0
30012,YAVAPAI REGIONAL MEDICAL CENTER,PRESCOTT,AZ,YAVAPAI,35.0,4.0
30134,BANNER GOLDFIELD MEDICAL CENTER,APACHE JUNCTION,AZ,PINAL,35.0,4.0
60027,FOOTHILLS HOSPITAL,BOULDER,CO,BOULDER,35.0,4.0
10130,ST VINCENT'S ST CLAIR,PELL CITY,AL,ST. CLAIR,34.0,4.0
50424,SCRIPPS GREEN HOSPITAL,LA JOLLA,CA,SAN DIEGO,34.0,4.0
10113,MOBILE INFIRMARY MEDICAL CENTER,MOBILE,AL,MOBILE,33.0,4.0
50234,SHARP CORONADO HOSPITAL AND HLTHCR CTR,CORONADO,CA,SAN DIEGO,33.0,4.0
50407,CHINESE HOSPITAL,SAN FRANCISCO,CA,SAN FRANCISCO,33.0,4.0
50498,SUTTER AUBURN FAITH HOSPITAL,AUBURN,CA,PLACER,33.0,4.0
50677,KAISER FOUNDATION HOSPITAL - WOODLAND HILLS,WOODLAND HILLS,CA,LOS ANGELES,33.0,4.0
50131,NOVATO COMMUNITY HOSPITAL,NOVATO,CA,MARIN,32.0,4.0
50197,SEQUOIA HOSPITAL,REDWOOD CITY,CA,SAN MATEO,32.0,4.0
